horizon,coefficient,standard_error,test_statistic,raw_p_value,N,event_count,converged
1,-0.045120216404200275,0.044632899804879785,-1.0109183270961752,0.312055521552854,262,28,True
3,-0.08331851726874705,0.050020028088943166,-1.665703128366784,0.09577255859003604,260,28,True
6,-0.13466303739007401,0.055351196364248706,-2.4328839525689596,0.014979100836082856,257,28,True
12,-0.07101605909440925,0.05147771262844937,-1.379549623872797,0.16772535719342674,251,28,True
