period,vix_brier,augmented_brier,absolute_brier_difference,relative_brier_difference,vix_auc,augmented_auc
2006-2017,0.11036913883727736,0.10975031010122344,-0.0006188287360539353,-0.0056069001042610735,0.7526515151515152,0.7477272727272728
2018-2025,0.169042507532908,0.166424387853698,-0.002618119679210004,-0.015487936835652577,0.5452631578947368,0.5908771929824561
